"entropy";"pc";"bfr";"shf";"msi";"used";"blocked";"ratio"
"50.541667";"0.335023";"0.844275";"1.433617";"346.416667";"0.620028";"0";"0.810000"
"51.833333";"0.452679";"0.840054";"1.473810";"346.000000";"0.598840";"1";"0.120000"
"39.208333";"1.058731";"0.804977";"1.480508";"344.416667";"0.537760";"1";"0.130000"
"45.416667";"0.801087";"0.820219";"1.572564";"343.833333";"0.537524";"0";"0.390000"
"52.250000";"0.225148";"0.855794";"1.305579";"344.916667";"0.669508";"1";"0.590000"
"43.708333";"0.868779";"0.798892";"1.516088";"344.500000";"0.547822";"0";"0.180000"
"50.285714";"0.350158";"0.830927";"1.396095";"348.666667";"0.632576";"0";"0.090000"
"53.625000";"0.252696";"0.862097";"1.366646";"347.333333";"0.650331";"0";"0.680000"
"48.041667";"0.352097";"0.825584";"1.361746";"342.625000";"0.631629";"0";"0.420000"
"50.583333";"0.222352";"0.859021";"1.314883";"346.291667";"0.664536";"0";"0.620000"
"54.500000";"0.241023";"0.853612";"1.333947";"345.833333";"0.668561";"1";"0.460000"
"56.428571";"0.212882";"0.875086";"1.359282";"347.142857";"0.667343";"0";"0.730000"
"52.857143";"0.160965";"0.865538";"1.242200";"348.047619";"0.698458";"0";"0.850000"
"39.208333";"0.838678";"0.771069";"1.420317";"342.541667";"0.553741";"0";"0.330000"
"50.583333";"0.376168";"0.842725";"1.493905";"349.000000";"0.593277";"1";"0.400000"
"54.428571";"0.199315";"0.867455";"1.268377";"348.142857";"0.693588";"0";"0.090000"
"35.875000";"0.654516";"0.780306";"1.269887";"338.416667";"0.608665";"0";"0.600000"
"44.958333";"0.767791";"0.820106";"1.541708";"343.833333";"0.546638";"0";"0.210000"
"54.476190";"0.202458";"0.864568";"1.313067";"348.333333";"0.677219";"1";"0.840000"
"40.458333";"0.461486";"0.825435";"1.270867";"343.458333";"0.632576";"0";"0.110000"
"39.666667";"1.293790";"0.787402";"1.547145";"333.000000";"0.507931";"0";"0.130000"
"46.875000";"0.378734";"0.840647";"1.384143";"345.125000";"0.625473";"1";"0.650000"
"48.791667";"0.357894";"0.845010";"1.397694";"347.416667";"0.622633";"0";"0.620000"
"49.125000";"0.410307";"0.855026";"1.486214";"347.375000";"0.600142";"0";"0.360000"
"50.000000";"0.431536";"0.849339";"1.449954";"347.708333";"0.610204";"0";"0.510000"
"46.416667";"0.516986";"0.850523";"1.470531";"346.958333";"0.596354";"0";"0.490000"
"46.708333";"0.548812";"0.819580";"1.515355";"346.541667";"0.568655";"0";"0.000000"
"49.541667";"0.357950";"0.837610";"1.432058";"347.333333";"0.619200";"0";"0.580000"
"37.166667";"1.202086";"0.765423";"1.465403";"332.708333";"0.521188";"0";"0.190000"
"37.375000";"0.518159";"0.793735";"1.271106";"343.708333";"0.617188";"0";"0.240000"
"29.458333";"1.513933";"0.685953";"1.217431";"325.250000";"0.576705";"1";"0.600000"
"51.875000";"0.319583";"0.857814";"1.451851";"344.958333";"0.621449";"0";"0.270000"
"58.380952";"0.156668";"0.866837";"1.281922";"347.952381";"0.693182";"0";"0.830000"
"50.791667";"0.410917";"0.852938";"1.408352";"346.750000";"0.629616";"0";"0.360000"
"48.708333";"0.513263";"0.827217";"1.483690";"338.958333";"0.579782";"0";"0.560000"
"53.250000";"0.262876";"0.854445";"1.383199";"346.000000";"0.649266";"1";"0.710000"
"31.625000";"2.132314";"0.688654";"1.387961";"317.083333";"0.473840";"0";"0.000000"
"53.083333";"0.242075";"0.852376";"1.411925";"343.625000";"0.635298";"0";"0.440000"
"46.428571";"0.205446";"0.846135";"1.163883";"345.238095";"0.706981";"1";"0.840000"
"19.250000";"11.832538";"0.377520";"1.111201";"199.875000";"0.311908";"0";"0.000000"
"49.000000";"0.300196";"0.842640";"1.410245";"343.833333";"0.623816";"0";"0.220000"
"45.416667";"0.659174";"0.839400";"1.503578";"341.666667";"0.566406";"0";"0.300000"
"45.291667";"0.367030";"0.811870";"1.359342";"341.166667";"0.622277";"0";"0.490000"
"52.958333";"0.260860";"0.848717";"1.382371";"346.041667";"0.642637";"0";"0.270000"
"51.380952";"0.229816";"0.850135";"1.335864";"348.666667";"0.662338";"0";"0.100000"
