entropy,path_consecutiveness,bfr,msi,blocked,ratio
46.541667,0.535583,0.839835,341.125000,1,0.700000
47.375000,0.501247,0.844954,346.000000,1,0.710000
36.875000,0.605086,0.784356,341.791667,1,0.750000
37.041667,0.617271,0.785507,341.791667,1,0.790000
48.625000,0.379783,0.856212,346.208333,1,0.730000
48.708333,0.388529,0.857652,346.208333,1,0.760000
49.291667,0.442049,0.851308,347.916667,1,0.730000
49.291667,0.442049,0.851308,347.916667,1,0.780000
41.833333,0.795621,0.794387,339.208333,1,0.730000
45.208333,0.399024,0.828809,344.500000,1,0.700000
44.666667,0.436066,0.818377,345.333333,1,0.760000
44.333333,0.382869,0.822333,345.333333,1,0.730000
46.541667,0.367514,0.839698,345.166667,1,0.700000
46.250000,0.368402,0.839127,345.166667,1,0.730000
46.666667,0.366773,0.837984,345.166667,1,0.720000
46.583333,0.423995,0.839386,345.166667,1,0.780000
45.666667,0.387524,0.851945,343.666667,1,0.760000
54.666667,0.214187,0.864164,348.190476,1,0.830000
54.952381,0.211998,0.858759,347.666667,1,0.830000
54.952381,0.211998,0.858759,347.666667,1,0.830000
54.571429,0.217121,0.870231,347.333333,1,0.810000
55.047619,0.211493,0.867258,347.142857,1,0.880000
55.190476,0.179618,0.856543,349.428571,1,0.830000
57.857143,0.202379,0.875860,348.238095,1,0.820000
57.857143,0.202379,0.875860,348.238095,1,0.810000
57.047619,0.212973,0.868229,348.238095,1,0.850000
57.428571,0.188551,0.873603,348.238095,1,0.800000
58.428571,0.173822,0.883570,348.238095,1,0.840000
58.523810,0.185664,0.885380,348.238095,1,0.810000
58.523810,0.185664,0.885380,348.238095,1,0.810000
57.142857,0.211376,0.865178,347.619048,1,0.810000
42.666667,0.278856,0.819780,348.857143,1,0.820000
45.333333,0.192478,0.823647,348.000000,1,0.810000
45.333333,0.192737,0.823412,348.000000,1,0.800000
47.190476,0.164968,0.839873,348.857143,1,0.820000
49.476190,0.154709,0.856114,348.904762,1,0.800000
49.952381,0.193059,0.846772,348.904762,1,0.800000
50.380952,0.193595,0.853026,348.714286,1,0.820000
50.380952,0.193595,0.853026,348.714286,1,0.810000
51.714286,0.158272,0.860611,348.571429,1,0.810000
46.523810,0.168219,0.830923,349.142857,0,0.857000
46.904762,0.130561,0.845841,348.857143,0,0.862000
46.904762,0.242859,0.840845,349.809524,0,0.814000
47.000000,0.130856,0.845966,348.857143,0,0.824000
47.047619,0.121272,0.847055,349.761905,0,0.818000
47.190476,0.085518,0.839922,349.714286,0,0.862000
47.380952,0.087861,0.847972,349.714286,0,0.868000
47.380952,0.124235,0.861853,349.238095,0,0.875000
47.571429,0.067696,0.842795,349.714286,0,0.841000
47.571429,0.127607,0.862937,349.238095,0,0.840000
47.571429,0.184688,0.853132,349.238095,0,0.806000
47.666667,0.124979,0.865002,349.238095,0,0.813000
47.666667,0.198589,0.846890,345.285714,0,0.811000
47.666667,0.200128,0.846032,345.285714,0,0.816000
47.857143,0.080055,0.843409,349.714286,0,0.833000
45.380952,0.113704,0.853560,349.428571,0,0.914000
45.380952,0.113813,0.853739,349.428571,0,0.938000
45.857143,0.115346,0.857601,349.428571,0,0.906000
48.333333,0.171261,0.855939,349.238095,0,0.922000
48.809524,0.067861,0.860861,349.571429,0,0.912000
51.571429,0.050502,0.858514,349.333333,0,0.927000
51.666667,0.050698,0.858735,349.333333,0,0.915000
51.809524,0.062827,0.868107,349.952381,0,0.915000
54.857143,0.091277,0.872144,349.857143,0,0.917000
55.095238,0.091301,0.863373,349.285714,0,0.911000
31.857143,0.368977,0.777751,341.952381,0,0.930000
31.952381,0.368826,0.777963,341.952381,0,0.957000
35.047619,0.299179,0.782623,349.380952,0,0.906000
38.857143,0.166022,0.799578,349.380952,0,0.917000
45.190476,0.128634,0.836341,348.809524,0,0.902000
46.285714,0.078602,0.850069,348.714286,0,0.927000
46.714286,0.131851,0.845607,348.857143,0,0.917000
46.904762,0.242478,0.840583,349.809524,0,0.939000
47.190476,0.085397,0.840915,349.714286,0,0.946000
48.714286,0.069317,0.861253,349.571429,0,0.946000
49.380952,0.066598,0.860370,350.285714,0,0.922000
50.380952,0.146184,0.855852,349.047619,0,0.909000
52.809524,0.067541,0.851132,348.190476,0,0.925000
53.666667,0.078762,0.867635,348.714286,0,0.912000
53.857143,0.066639,0.869524,350.190476,0,0.905000
54.047619,0.066619,0.869772,350.190476,0,0.939000
55.047619,0.070198,0.876464,349.047619,0,0.922000
