"entropy";"path_consecutiveness";"bfr";"msi";"blocked";"ratio"
"43.666667";"0.513380";"0.811193";"347.857143";"1";"0.620000"
"48.875000";"0.303382";"0.843037";"348.125000";"1";"0.530000"
"56.047619";"0.176711";"0.860825";"349.142857";"1";"0.660000"
"53.333333";"0.247836";"0.872392";"348.291667";"1";"0.660000"
"53.047619";"0.252502";"0.866997";"346.857143";"1";"0.630000"
"50.458333";"0.433562";"0.856899";"347.833333";"1";"0.630000"
"46.465116";"1.019743";"0.817460";"339.906977";"1";"0.600000"
"42.418605";"1.461850";"0.792005";"335.279070";"1";"0.570000"
"48.069767";"0.867210";"0.829402";"341.325581";"1";"0.510000"
"56.571429";"0.235218";"0.859069";"348.238095";"1";"0.690000"
"41.916667";"0.511246";"0.813572";"337.916667";"1";"0.510000"
"55.000000";"0.117468";"0.852384";"348.666667";"1";"0.510000"
"41.000000";"0.124171";"0.824929";"348.666667";"1";"0.579000"
"55.541667";"0.206259";"0.859838";"348.333333";"1";"0.640000"
"53.714286";"0.146657";"0.865731";"347.619048";"1";"0.600000"
"49.000000";"0.291521";"0.849872";"347.904762";"1";"0.690000"
"49.375000";"0.240235";"0.852338";"345.541667";"1";"0.530000"
"54.238095";"0.186829";"0.858279";"349.095238";"1";"0.561000"
"53.952381";"0.196627";"0.873301";"350.142857";"1";"0.526000"
"53.238095";"0.109152";"0.868312";"348.095238";"1";"0.670000"
"49.857143";"0.099358";"0.849239";"349.571429";"0";"0.515000"
"49.666667";"0.252189";"0.851547";"347.958333";"1";"0.550000"
"48.791667";"0.222885";"0.857408";"348.416667";"1";"0.510000"
"48.428571";"0.519165";"0.840990";"343.476190";"1";"0.620000"
"43.619048";"0.594790";"0.838569";"348.142857";"1";"0.630000"
"49.857143";"0.203592";"0.852261";"349.619048";"1";"0.640000"
"47.714286";"0.192412";"0.842688";"345.761905";"0";"0.561000"
"56.380952";"0.275719";"0.869447";"346.952381";"1";"0.670000"
"43.238095";"0.367351";"0.831058";"348.380952";"1";"0.510000"
"44.534884";"1.277176";"0.818133";"347.116279";"1";"0.500000"
"38.714286";"0.315302";"0.807355";"347.285714";"1";"0.526000"
"52.380952";"0.335503";"0.866333";"344.761905";"1";"0.510000"
"56.142857";"0.112702";"0.883647";"349.619048";"1";"0.590000"
"55.375000";"0.246031";"0.854306";"346.416667";"1";"0.600000"
"46.916667";"0.436341";"0.844404";"345.166667";"1";"0.650000"
"50.625000";"0.277623";"0.854400";"347.083333";"1";"0.640000"
"47.761905";"0.326604";"0.852132";"346.476190";"1";"0.590000"
"53.428571";"0.200373";"0.862718";"349.714286";"1";"0.500000"
"50.619048";"0.354286";"0.857424";"345.142857";"1";"0.640000"
"43.488372";"0.993231";"0.817942";"338.720930";"0";"0.510000"
"53.000000";"0.251618";"0.867932";"347.833333";"1";"0.700000"
"49.041667";"0.201011";"0.845948";"348.625000";"1";"0.660000"
"54.333333";"0.263393";"0.874839";"347.541667";"1";"0.590000"
"41.571429";"0.264148";"0.832427";"345.476190";"1";"0.560000"
"53.458333";"0.231802";"0.849549";"348.333333";"1";"0.590000"
"47.208333";"0.269547";"0.828196";"346.000000";"1";"0.620000"
"45.250000";"0.219225";"0.845570";"347.000000";"1";"0.640000"
"43.000000";"0.313758";"0.814097";"345.916667";"1";"0.600000"
"56.476190";"0.229189";"0.857275";"348.238095";"1";"0.700000"
"48.904762";"0.224828";"0.842870";"348.476190";"1";"0.554000"
"54.809524";"0.234434";"0.851498";"348.952381";"1";"0.670000"
"51.095238";"0.255518";"0.850496";"347.380952";"1";"0.670000"
"51.375000";"0.304341";"0.857028";"344.208333";"1";"0.500000"
"56.047619";"0.087358";"0.871565";"348.000000";"1";"0.620000"
"43.465116";"1.195128";"0.806194";"337.674419";"1";"0.510000"
"47.619048";"0.118433";"0.852265";"349.095238";"1";"0.537000"
"52.541667";"0.258548";"0.848779";"347.541667";"1";"0.650000"
"55.428571";"0.222300";"0.868402";"346.952381";"1";"0.570000"
"56.571429";"0.145848";"0.847833";"347.000000";"1";"0.600000"
"50.291667";"0.295477";"0.868330";"348.208333";"1";"0.620000"
"45.375000";"0.301464";"0.828023";"346.250000";"1";"0.540000"
"49.291667";"0.208713";"0.841337";"347.458333";"1";"0.680000"
"50.952381";"0.414544";"0.859261";"344.904762";"1";"0.660000"
"56.142857";"0.089452";"0.871227";"348.000000";"1";"0.600000"
"43.000000";"0.264039";"0.835535";"346.809524";"1";"0.680000"
"51.958333";"0.341466";"0.835887";"344.083333";"1";"0.550000"
"51.708333";"0.178625";"0.859439";"346.500000";"1";"0.630000"
"49.047619";"0.191601";"0.849235";"345.761905";"1";"0.590000"
"50.761905";"0.102195";"0.865203";"348.285714";"1";"0.585000"
"51.666667";"0.237561";"0.850956";"349.809524";"1";"0.520000"
"54.857143";"0.154339";"0.874600";"349.619048";"1";"0.600000"
"41.666667";"0.245748";"0.830058";"345.476190";"1";"0.540000"
"47.523810";"0.350924";"0.856032";"346.476190";"1";"0.670000"
"55.523810";"0.130545";"0.873047";"349.333333";"1";"0.580000"
"53.857143";"0.074158";"0.865218";"348.428571";"1";"0.564000"
"53.458333";"0.155665";"0.856671";"349.375000";"1";"0.650000"
"56.095238";"0.096995";"0.874415";"348.000000";"0";"0.560000"
"56.190476";"0.105304";"0.876298";"348.380952";"1";"0.500000"
"49.714286";"0.173429";"0.853425";"346.571429";"1";"0.640000"
"49.041667";"0.454452";"0.843176";"343.791667";"1";"0.500000"
"54.904762";"0.240777";"0.866481";"348.571429";"1";"0.610000"
"46.541667";"0.375220";"0.857018";"347.833333";"1";"0.650000"
"54.250000";"0.169981";"0.871364";"348.583333";"1";"0.610000"
"53.958333";"0.294975";"0.858426";"347.291667";"1";"0.510000"
"51.523810";"0.272888";"0.854922";"347.095238";"1";"0.610000"
"53.095238";"0.117170";"0.873504";"348.190476";"1";"0.550000"
"51.791667";"0.348260";"0.838866";"345.500000";"1";"0.610000"
"41.953488";"1.056930";"0.793823";"339.069767";"1";"0.620000"
"55.380952";"0.186739";"0.872776";"349.571429";"1";"0.550000"
"54.952381";"0.238366";"0.871447";"349.571429";"1";"0.570000"
"52.041667";"0.430049";"0.855291";"342.833333";"1";"0.690000"
"54.000000";"0.174103";"0.872792";"347.541667";"1";"0.630000"
"54.958333";"0.207598";"0.863740";"347.291667";"1";"0.670000"
"42.581395";"1.386674";"0.811747";"332.604651";"1";"0.590000"
"53.458333";"0.232297";"0.849707";"348.333333";"1";"0.580000"
"56.857143";"0.160505";"0.876951";"349.190476";"1";"0.554000"
"46.000000";"0.215681";"0.840922";"348.285714";"1";"0.580000"
"49.904762";"0.083530";"0.864444";"349.714286";"1";"0.550000"
"46.162791";"1.073182";"0.822438";"343.046512";"1";"0.530000"
"54.904762";"0.108639";"0.869755";"348.476190";"1";"0.540000"
"52.166667";"0.241947";"0.833724";"347.166667";"0";"0.540000"
"47.571429";"0.162081";"0.847149";"348.380952";"0";"0.512000"
"45.583333";"0.392338";"0.851902";"343.458333";"1";"0.680000"
"48.190476";"0.344733";"0.850538";"347.809524";"1";"0.630000"
"52.904762";"0.275457";"0.852168";"349.380952";"1";"0.600000"
"41.790698";"1.419928";"0.808723";"343.325581";"1";"0.570000"
"39.000000";"1.229989";"0.796099";"342.541667";"1";"0.600000"
"48.000000";"0.143744";"0.841363";"348.285714";"1";"0.563000"
"54.285714";"0.200732";"0.859751";"348.666667";"1";"0.530000"
"47.666667";"0.163832";"0.852437";"349.095238";"1";"0.528000"
"47.958333";"0.398271";"0.847690";"346.916667";"1";"0.530000"
"46.857143";"0.154220";"0.846897";"347.714286";"1";"0.610000"
"48.325581";"0.932311";"0.833352";"343.697674";"1";"0.580000"
"54.333333";"0.261013";"0.876877";"347.541667";"1";"0.620000"
"55.095238";"0.132944";"0.859381";"348.809524";"1";"0.560000"
"53.714286";"0.174178";"0.867192";"349.285714";"1";"0.520000"
"52.250000";"0.302001";"0.843107";"346.416667";"1";"0.630000"
"43.125000";"0.305881";"0.827899";"346.250000";"1";"0.550000"
"53.190476";"0.173295";"0.863810";"348.857143";"1";"0.510000"
"54.833333";"0.181173";"0.864355";"347.291667";"1";"0.690000"
"51.000000";"0.146810";"0.854284";"349.000000";"1";"0.549000"
"50.208333";"0.233314";"0.860741";"348.416667";"1";"0.650000"
"54.750000";"0.285000";"0.860926";"345.541667";"1";"0.570000"
"52.809524";"0.212397";"0.854132";"349.476190";"1";"0.610000"
"52.625000";"0.248432";"0.860421";"347.041667";"1";"0.620000"
"49.583333";"0.241624";"0.857229";"347.958333";"1";"0.580000"
"43.708333";"0.369567";"0.827637";"344.500000";"1";"0.530000"
"43.428571";"0.267581";"0.836299";"347.476190";"1";"0.556000"
"43.441860";"0.974399";"0.820474";"341.813953";"1";"0.568000"
"40.416667";"0.546081";"0.819403";"342.291667";"1";"0.520000"
"46.333333";"0.146065";"0.831761";"348.857143";"1";"0.514000"
"42.651163";"1.397217";"0.796363";"332.558140";"1";"0.510000"
"50.809524";"0.371358";"0.853340";"347.476190";"1";"0.596000"
"55.208333";"0.204568";"0.859585";"348.583333";"1";"0.700000"
"43.418605";"0.979052";"0.818443";"338.720930";"1";"0.500000"
"54.125000";"0.236796";"0.874555";"347.416667";"1";"0.530000"
"47.523810";"0.330309";"0.826224";"347.952381";"1";"0.570000"
"50.875000";"0.348235";"0.853788";"344.625000";"1";"0.590000"
"44.476190";"0.347041";"0.843454";"348.666667";"1";"0.533000"
"50.125000";"0.317668";"0.848269";"346.500000";"1";"0.500000"
"52.571429";"0.148575";"0.865746";"350.047619";"1";"0.700000"
"46.500000";"0.344961";"0.845651";"344.208333";"1";"0.650000"
"55.000000";"0.129553";"0.870419";"349.619048";"1";"0.530000"
"50.142857";"0.324776";"0.848779";"348.666667";"1";"0.551000"
"45.761905";"0.550634";"0.847307";"342.619048";"1";"0.517000"
"47.348837";"1.064209";"0.824698";"341.093023";"1";"0.520000"
"54.714286";"0.123586";"0.860107";"348.809524";"1";"0.670000"
"49.744186";"0.702508";"0.836707";"344.720930";"1";"0.680000"
"46.186047";"1.074593";"0.831525";"340.604651";"1";"0.540000"
