"entropy";"pc";"bfr";"shf";"msi";"used";"blocked";"ratio"
"25.458333";"6.349138";"0.498119";"1.291949";"255.166667";"0.373343";"0";"0.000000"
"20.916667";"10.193952";"0.409180";"1.173577";"212.500000";"0.309422";"0";"0.000000"
"40.500000";"1.118840";"0.801545";"1.605473";"340.416667";"0.501184";"0";"0.000000"
"16.916667";"13.310815";"0.324410";"1.028521";"194.291667";"0.331676";"0";"0.000000"
"37.458333";"1.374144";"0.785941";"1.499100";"334.125000";"0.499053";"0";"0.170000"
"18.333333";"13.916280";"0.313893";"1.043329";"175.833333";"0.274858";"0";"0.000000"
"20.583333";"8.569226";"0.442474";"1.177136";"222.791667";"0.344934";"0";"0.000000"
"30.125000";"2.313287";"0.644836";"1.334518";"305.000000";"0.467803";"0";"0.000000"
"38.208333";"1.293837";"0.786533";"1.527309";"324.041667";"0.502249";"0";"0.000000"
"39.541667";"1.168555";"0.805885";"1.590724";"340.375000";"0.504498";"0";"0.170000"
"29.750000";"2.982762";"0.630814";"1.349261";"303.708333";"0.461174";"0";"0.000000"
"32.166667";"1.916130";"0.701268";"1.385157";"319.458333";"0.486624";"0";"0.420000"
"12.833333";"29.154633";"0.202057";"0.787710";"131.791667";"0.217566";"0";"0.000000"
"1.916667";"234.236998";"0.009348";"0.067748";"10.333333";"0.022964";"0";"0.000000"
"22.250000";"9.390054";"0.436152";"1.203674";"227.291667";"0.337595";"0";"0.000000"
"39.375000";"1.196885";"0.812038";"1.533216";"344.916667";"0.521780";"0";"0.000000"
"36.125000";"1.892978";"0.800511";"1.640250";"334.541667";"0.446496";"0";"0.000000"
"11.708333";"38.117643";"0.179147";"0.715617";"113.166667";"0.172822";"0";"0.000000"
"36.333333";"1.321662";"0.802882";"1.571046";"344.291667";"0.487334";"0";"0.000000"
"30.083333";"2.182832";"0.644522";"1.308432";"315.375000";"0.496212";"0";"0.000000"
"29.541667";"2.493233";"0.652768";"1.339358";"299.041667";"0.498698";"0";"0.000000"
"16.208333";"15.070227";"0.302726";"1.005119";"182.166667";"0.304451";"0";"0.000000"
"20.166667";"11.522846";"0.420364";"1.198916";"210.708333";"0.288826";"0";"0.000000"
"0.625000";"338.446422";"0.000360";"0.009080";"2.041667";"0.006866";"0";"0.000000"
"0.125000";"346.063920";"0.000000";"0.002808";"0.875000";"0.002841";"0";"0.140000"
"18.416667";"14.142612";"0.320803";"1.062700";"177.916667";"0.274621";"0";"0.000000"
"0.416667";"348.295632";"0.000000";"0.002594";"0.500000";"0.002604";"0";"0.700000"
"19.416667";"11.701649";"0.375551";"1.106296";"199.875000";"0.314276";"0";"0.000000"
"31.458333";"2.147278";"0.677408";"1.359689";"310.875000";"0.477036";"0";"0.230000"
"21.916667";"7.440833";"0.452060";"1.231382";"242.000000";"0.381629";"0";"0.000000"
"41.250000";"0.777281";"0.806659";"1.503994";"337.375000";"0.542969";"0";"0.000000"
"28.333333";"2.681972";"0.625127";"1.316393";"291.625000";"0.498343";"0";"0.000000"
"16.208333";"15.445251";"0.305188";"1.014088";"181.041667";"0.297704";"0";"0.000000"
"36.083333";"1.548864";"0.753589";"1.506376";"331.291667";"0.477509";"0";"0.000000"
"38.833333";"1.402622";"0.807301";"1.579865";"344.083333";"0.501657";"0";"0.000000"
"9.000000";"62.241036";"0.148767";"0.610873";"94.125000";"0.141572";"0";"0.000000"
"6.875000";"88.559964";"0.084109";"0.422664";"73.833333";"0.138258";"0";"0.000000"
"32.583333";"1.885053";"0.703916";"1.394878";"319.958333";"0.485559";"0";"0.430000"
"20.583333";"9.208388";"0.397302";"1.132825";"221.416667";"0.374408";"0";"0.000000"
"12.291667";"34.125391";"0.201426";"0.767343";"130.458333";"0.209280";"0";"0.000000"
"24.416667";"4.150423";"0.555970";"1.281352";"278.125000";"0.471117";"0";"0.000000"
"23.750000";"5.080500";"0.583967";"1.298794";"269.208333";"0.428504";"0";"0.000000"
"38.041667";"1.813458";"0.785807";"1.607040";"326.875000";"0.464489";"0";"0.000000"
"37.875000";"1.406866";"0.802346";"1.581304";"339.166667";"0.486151";"0";"0.000000"
"4.333333";"159.315072";"0.034361";"0.218671";"39.625000";"0.084044";"0";"0.000000"
"1.458333";"249.178230";"0.006467";"0.052398";"9.041667";"0.021307";"0";"0.000000"
"18.500000";"14.132596";"0.321386";"1.064501";"177.916667";"0.274148";"0";"0.000000"
"28.416667";"2.424456";"0.687126";"1.338288";"307.291667";"0.494673";"0";"0.000000"
"37.083333";"1.584255";"0.774155";"1.544189";"334.000000";"0.471236";"0";"0.000000"
"38.833333";"1.144590";"0.805470";"1.492426";"344.416667";"0.537287";"0";"0.000000"
"20.500000";"8.929382";"0.415260";"1.156271";"224.708333";"0.374053";"0";"0.000000"
"27.625000";"3.704543";"0.604151";"1.322600";"297.208333";"0.443774";"0";"0.000000"
"23.000000";"7.010523";"0.520882";"1.240052";"246.333333";"0.375237";"0";"0.000000"
"12.458333";"32.613351";"0.200146";"0.767003";"132.625000";"0.217448";"0";"0.000000"
"30.166667";"2.342503";"0.650872";"1.348130";"304.375000";"0.466383";"0";"0.000000"
"41.541667";"0.854000";"0.809931";"1.542642";"337.791667";"0.529356";"0";"0.150000"
"1.166667";"315.910748";"0.004101";"0.033576";"5.625000";"0.014323";"0";"0.000000"
"26.750000";"3.846614";"0.669192";"1.254170";"307.166667";"0.491596";"1";"0.100000"
"26.750000";"4.065434";"0.586341";"1.302808";"285.500000";"0.437382";"0";"0.000000"
"22.083333";"6.801686";"0.460632";"1.237203";"244.458333";"0.389915";"0";"0.000000"
"37.541667";"1.789347";"0.785720";"1.590453";"327.916667";"0.468158";"0";"0.000000"
"28.583333";"2.387563";"0.683903";"1.332662";"307.291667";"0.496449";"0";"0.160000"
"17.625000";"11.377190";"0.340655";"1.040473";"205.875000";"0.360559";"0";"0.000000"
"21.250000";"10.263924";"0.427586";"1.206898";"219.750000";"0.308949";"0";"0.000000"
"37.333333";"2.115220";"0.784999";"1.654140";"325.458333";"0.440696";"0";"0.000000"
"32.000000";"2.432434";"0.699382";"1.371956";"321.083333";"0.496449";"0";"0.180000"
"23.083333";"5.632152";"0.510548";"1.218299";"254.083333";"0.424242";"0";"0.000000"
"12.791667";"27.016399";"0.217722";"0.820485";"138.541667";"0.227154";"0";"0.000000"
