bloqueo,entropia,msi,bfr,rutas,pathconsec,entropiauso,porcuso
0,0.093,0.651,0.0,1,349.459,0.0,0.002
0,0.116,0.698,0.0,2,349.41,0.0,0.002
0,0.186,1.116,0.0,3,348.173,0.0,0.004
0,0.326,1.116,0.0,4,347.946,0.0,0.004
0,0.395,1.116,0.0,5,347.8,0.0,0.004
0,0.395,1.302,0.0,6,347.357,0.0,0.005
0,0.419,1.395,0.0,7,347.115,0.0,0.005
0,0.512,2.047,0.0,8,345.574,0.0,0.007
0,0.512,1.953,0.0,8,345.652,0.0,0.007
0,0.558,2.186,0.0,9,344.976,0.034,0.008
0,0.558,2.372,0.0,10,344.556,0.042,0.008
0,0.628,2.442,0.0,11,344.232,0.08,0.009
0,0.721,3.186,0.001,12,336.523,0.134,0.01
0,0.814,3.535,0.001,13,328.928,0.145,0.011
0,0.953,4.116,0.002,14,314.245,0.189,0.012
0,0.907,4.116,0.002,15,319.679,0.179,0.012
0,1.0,4.581,0.002,16,312.134,0.234,0.013
0,1.093,5.07,0.003,17,307.541,0.239,0.013
0,1.14,5.442,0.004,18,302.988,0.275,0.014
0,1.279,6.372,0.006,19,288.566,0.366,0.015
0,1.302,6.279,0.005,19,292.152,0.456,0.015
0,1.349,6.628,0.005,20,289.219,0.47,0.016
0,1.488,7.581,0.008,21,276.472,0.548,0.016
0,1.535,7.93,0.008,22,271.766,0.579,0.017
0,1.535,8.07,0.008,23,271.624,0.616,0.017
0,1.674,9.047,0.009,24,257.654,0.882,0.019
0,1.721,9.744,0.009,25,251.654,1.034,0.021
0,1.767,9.953,0.009,26,247.502,1.059,0.022
0,1.767,10.512,0.009,27,246.252,1.17,0.023
0,1.767,11.07,0.009,28,245.694,1.389,0.025
0,1.814,11.581,0.009,29,243.354,1.585,0.026
0,1.86,11.581,0.009,30,243.225,1.676,0.026
0,1.86,11.721,0.009,31,243.057,1.706,0.027
0,1.953,12.256,0.01,32,238.173,1.716,0.027
0,2.047,13.744,0.013,33,232.397,1.937,0.029
0,2.093,14.093,0.013,34,230.101,2.042,0.03
0,2.14,14.419,0.013,35,229.459,2.18,0.031
0,2.14,14.419,0.013,36,229.342,2.201,0.031
0,2.233,15.209,0.014,37,221.328,2.505,0.033
0,2.326,15.907,0.015,38,218.894,2.705,0.034
0,2.302,16.186,0.015,38,213.365,2.71,0.034
0,2.349,16.326,0.015,39,213.086,2.72,0.035
0,2.349,16.488,0.015,40,212.751,2.72,0.035
0,2.395,16.767,0.015,41,206.69,2.788,0.036
0,2.349,16.791,0.015,42,210.422,2.739,0.036
0,2.488,17.535,0.015,43,201.913,3.327,0.038
0,2.535,17.558,0.015,44,201.074,3.386,0.038
0,2.581,18.791,0.017,45,196.507,3.548,0.04
0,2.628,19.953,0.02,46,193.506,3.682,0.04
0,2.721,19.953,0.02,47,193.407,3.81,0.041
0,2.767,19.977,0.02,48,191.969,3.973,0.041
0,2.86,20.628,0.021,49,188.625,4.079,0.041
0,2.953,21.651,0.023,50,187.033,4.199,0.043
0,3.0,22.0,0.023,51,185.659,4.337,0.043
0,3.047,22.349,0.024,52,184.104,4.426,0.044
0,3.093,22.605,0.024,53,184.309,4.433,0.044
0,3.047,22.628,0.024,54,185.755,4.367,0.045
0,3.14,24.0,0.027,55,182.761,4.466,0.045
0,3.186,24.744,0.028,56,181.672,4.719,0.046
0,3.186,24.744,0.028,57,181.48,4.809,0.046
0,3.186,24.744,0.028,58,181.462,4.809,0.047
0,3.186,24.744,0.028,59,181.438,4.825,0.047
0,3.279,25.512,0.028,60,173.474,5.415,0.048
0,3.465,25.372,0.03,59,166.443,5.558,0.047
0,3.558,26.86,0.033,60,163.892,5.957,0.048
0,3.651,27.605,0.033,61,161.3,6.142,0.049
0,3.744,28.279,0.037,61,157.17,6.319,0.048
0,3.791,28.605,0.037,62,155.592,6.353,0.049
0,3.744,28.605,0.036,63,156.761,6.296,0.049
0,3.791,28.977,0.037,64,156.423,6.375,0.05
0,3.837,28.977,0.036,65,155.044,6.603,0.051
0,3.837,29.07,0.036,66,154.69,6.858,0.051
0,3.884,30.512,0.039,67,152.849,6.997,0.053
