entropy, bfr, shf, used, blocked, ratio
0.166667, 0.000000 , 0.003745 , 0.003788 , 0 , 0.00
0.250000, 0.000000 , 0.005385 , 0.005445 , 0 , 0.00
0.250000, 0.000000 , 0.005846 , 0.005919 , 0 , 0.00
0.416667, 0.001071 , 0.011522 , 0.006274 , 0 , 0.00
0.416667, 0.001089 , 0.013579 , 0.008404 , 0 , 0.00
0.458333, 0.001089 , 0.013697 , 0.008523 , 0 , 0.00
0.625000, 0.001089 , 0.016978 , 0.011837 , 0 , 0.00
0.708333, 0.001089 , 0.017686 , 0.012547 , 0 , 0.00
0.791667, 0.001089 , 0.018861 , 0.013731 , 0 , 0.00
0.875000, 0.001571 , 0.022487 , 0.014796 , 0 , 0.00
0.875000, 0.001580 , 0.024537 , 0.016927 , 0 , 0.00
0.875000, 0.001580 , 0.027280 , 0.019768 , 0 , 0.00
0.958333, 0.003484 , 0.035434 , 0.020241 , 0 , 0.00
1.125000, 0.006250 , 0.048289 , 0.021307 , 0 , 0.00
1.208333, 0.006501 , 0.050630 , 0.022254 , 0 , 0.00
1.208333, 0.006513 , 0.053304 , 0.025095 , 0 , 0.00
1.208333, 0.006513 , 0.053998 , 0.025805 , 0 , 0.00
1.208333, 0.006513 , 0.054680 , 0.026515 , 0 , 0.00
1.375000, 0.009946 , 0.071481 , 0.030303 , 0 , 0.00
1.625000, 0.015073 , 0.091999 , 0.031723 , 0 , 0.00
1.791667, 0.019436 , 0.109397 , 0.033617 , 0 , 0.00
1.875000, 0.021392 , 0.119168 , 0.036458 , 0 , 0.00
1.958333, 0.022427 , 0.124037 , 0.038234 , 0 , 0.00
2.041667, 0.024444 , 0.134995 , 0.042022 , 0 , 0.00
2.208333, 0.026933 , 0.147665 , 0.044981 , 0 , 0.00
2.291667, 0.027053 , 0.149416 , 0.045928 , 0 , 0.00
2.375000, 0.025920 , 0.147111 , 0.047112 , 0 , 0.00
2.458333, 0.030200 , 0.161747 , 0.048532 , 0 , 0.00
2.541667, 0.028406 , 0.160495 , 0.050426 , 0 , 0.00
2.541667, 0.028498 , 0.161901 , 0.052083 , 0 , 0.00
2.625000, 0.030177 , 0.169404 , 0.052320 , 0 , 0.00
2.791667, 0.032089 , 0.178822 , 0.053741 , 0 , 0.00
2.875000, 0.034213 , 0.187918 , 0.055161 , 0 , 0.00
2.916667, 0.033991 , 0.187407 , 0.055398 , 0 , 0.00
2.916667, 0.033878 , 0.187210 , 0.055516 , 0 , 0.00
3.000000, 0.037634 , 0.200629 , 0.057647 , 0 , 0.00
3.041667, 0.037396 , 0.199938 , 0.057884 , 0 , 0.00
3.041667, 0.037134 , 0.199042 , 0.058120 , 0 , 0.00
3.125000, 0.036696 , 0.200461 , 0.059541 , 0 , 0.00
