"entropy";"pc";"bfr";"shf";"msi";"used";"demandsq";"lockss";"ratio"
"50.416667";"0.272979";"0.839685";"1.341695";"345.791667";"0.642874";"3";"1";"0.280000"
"39.571429";"0.304234";"0.814578";"1.153466";"345.904762";"0.688041";"6";"1";"0.200000"
"28.625000";"1.431280";"0.735506";"1.267521";"333.333333";"0.560251";"4";"1";"0.260000"
"7.458333";"77.823430";"0.067931";"0.389967";"70.125000";"0.143703";"5";"0";"0.000000"
"42.767442";"0.817714";"0.821001";"1.481704";"341.279070";"0.556091";"3";"1";"0.400000"
"9.041667";"56.348265";"0.099763";"0.505376";"92.500000";"0.182173";"5";"0";"0.000000"
"31.325581";"2.749171";"0.723118";"1.457497";"318.767442";"0.440143";"3";"2";"0.220000"
"30.250000";"0.984869";"0.736419";"1.168478";"335.083333";"0.609967";"5";"2";"0.280000"
"36.302326";"1.108729";"0.758480";"1.373127";"335.046512";"0.542019";"7";"1";"0.240000"
"7.625000";"69.750389";"0.103536";"0.494802";"78.250000";"0.132931";"5";"0";"0.000000"
"36.558140";"1.907461";"0.762822";"1.486337";"323.302326";"0.483285";"6";"3";"0.590000"
"34.666667";"1.001428";"0.728201";"1.240379";"326.541667";"0.594815";"6";"1";"0.280000"
"43.095238";"0.349747";"0.831096";"1.262098";"346.333333";"0.658279";"9";"2";"0.360000"
"35.571429";"0.363933";"0.779362";"1.048442";"344.619048";"0.704545";"8";"3";"0.180000"
"29.125000";"2.059123";"0.684123";"1.238013";"329.375000";"0.543205";"1";"0";"0.010000"
"45.000000";"0.356810";"0.815468";"1.335558";"345.416667";"0.632931";"4";"0";"0.120000"
"33.166667";"1.033548";"0.769260";"1.241675";"334.458333";"0.608191";"4";"3";"0.130000"
"29.666667";"2.079015";"0.738479";"1.259108";"325.666667";"0.549242";"4";"1";"0.020000"
"29.041667";"2.015922";"0.676727";"1.156541";"321.541667";"0.578598";"5";"0";"0.010000"
"7.500000";"72.682499";"0.103119";"0.467637";"82.166667";"0.146544";"3";"0";"0.000000"
"24.875000";"2.681219";"0.673270";"1.208989";"325.083333";"0.528646";"4";"1";"0.010000"
"32.166667";"1.198064";"0.722127";"1.309895";"328.458333";"0.551491";"6";"0";"0.010000"
"7.041667";"91.820164";"0.084792";"0.416062";"71.083333";"0.129735";"7";"0";"0.000000"
"7.541667";"69.040786";"0.094770";"0.455208";"76.875000";"0.137666";"2";"0";"0.000000"
"33.095238";"0.614290";"0.767228";"1.111220";"341.809524";"0.663555";"4";"1";"0.250000"
"43.041667";"0.098413";"0.836876";"0.994388";"346.958333";"0.752249";"4";"1";"0.570000"
"32.000000";"0.774051";"0.769756";"1.148796";"341.904762";"0.649621";"6";"2";"0.010000"
"41.875000";"0.256501";"0.815225";"1.130557";"342.541667";"0.695194";"5";"3";"0.430000"
"31.767442";"2.665308";"0.744663";"1.510232";"319.069767";"0.441398";"4";"1";"0.200000"
"42.208333";"0.225060";"0.833511";"1.122622";"346.708333";"0.705729";"8";"2";"0.490000"
"30.166667";"1.359808";"0.692104";"1.204597";"325.666667";"0.579545";"6";"0";"0.010000"
"42.581395";"1.149807";"0.787853";"1.374999";"334.767442";"0.572740";"3";"2";"0.620000"
"7.708333";"77.065299";"0.075075";"0.408770";"67.750000";"0.129025";"5";"0";"0.000000"
"31.488372";"2.699693";"0.696478";"1.382725";"321.906977";"0.471261";"6";"3";"0.380000"
"9.541667";"58.429152";"0.133487";"0.592043";"93.750000";"0.153054";"7";"0";"0.000000"
"26.916667";"2.381550";"0.672641";"1.169287";"332.458333";"0.554806";"2";"0";"0.150000"
"32.041667";"1.670364";"0.725861";"1.395663";"328.083333";"0.501302";"4";"0";"0.010000"
"32.166667";"0.868423";"0.745746";"1.176451";"334.833333";"0.614228";"6";"3";"0.670000"
"28.083333";"1.828829";"0.665726";"1.205613";"321.041667";"0.554569";"9";"0";"0.070000"
"29.541667";"1.424428";"0.678791";"1.200618";"323.291667";"0.573153";"4";"0";"0.010000"
"43.523810";"0.393162";"0.829558";"1.276097";"346.904762";"0.650162";"3";"1";"0.270000"
"45.142857";"0.154757";"0.841959";"1.047025";"350.333333";"0.738501";"4";"2";"0.400000"
"30.541667";"1.862116";"0.734677";"1.342390";"327.250000";"0.525805";"13";"1";"0.010000"
"29.674419";"2.012363";"0.727657";"1.309737";"328.348837";"0.520679";"9";"3";"0.250000"
"42.095238";"0.189378";"0.824662";"1.033464";"347.761905";"0.736472";"4";"2";"0.580000"
"43.428571";"0.119079";"0.815189";"0.991105";"349.857143";"0.751218";"6";"4";"0.570000"
"44.375000";"0.385742";"0.817519";"1.354647";"337.041667";"0.613281";"4";"0";"0.370000"
"3.583333";"177.367768";"0.024345";"0.174052";"31.916667";"0.070904";"6";"0";"0.000000"
"30.714286";"1.053119";"0.762573";"1.241350";"330.571429";"0.604708";"6";"0";"0.010000"
"31.125000";"1.822424";"0.698621";"1.371455";"309.458333";"0.503906";"9";"0";"0.010000"
"30.697674";"2.326572";"0.725815";"1.405551";"323.046512";"0.470600";"2";"0";"0.240000"
"45.046512";"0.759456";"0.813468";"1.497435";"342.813953";"0.554836";"0";"0";"0.500000"
"44.428571";"0.125494";"0.833341";"1.029704";"346.761905";"0.741748";"3";"2";"0.550000"
"27.000000";"1.912407";"0.725178";"1.221556";"329.875000";"0.551373";"5";"0";"0.240000"
"27.604651";"3.026958";"0.711175";"1.345214";"328.604651";"0.472582";"7";"0";"0.130000"
"37.190476";"0.654737";"0.780082";"1.169942";"344.666667";"0.658415";"1";"0";"0.110000"
"31.208333";"1.731676";"0.715774";"1.383888";"318.208333";"0.515862";"3";"1";"0.010000"
"29.083333";"1.445073";"0.706331";"1.203967";"327.250000";"0.578954";"6";"0";"0.010000"
"29.750000";"1.538810";"0.709798";"1.255139";"335.458333";"0.572325";"6";"0";"0.010000"
"4.208333";"117.978013";"0.054957";"0.273982";"41.333333";"0.068182";"7";"0";"0.000000"
"42.418605";"1.168210";"0.806381";"1.476110";"338.744186";"0.537923";"1";"0";"0.320000"
"34.166667";"1.711031";"0.753921";"1.520644";"326.250000";"0.473130";"10";"2";"0.120000"
"42.325581";"0.730010";"0.825850";"1.424880";"344.674419";"0.577233";"7";"1";"0.150000"
"5.208333";"132.921954";"0.044026";"0.271245";"45.250000";"0.091027";"5";"0";"0.000000"
"34.904762";"0.398476";"0.783237";"1.114104";"344.190476";"0.684524";"3";"1";"0.510000"
"30.209302";"3.162140";"0.688201";"1.365308";"311.488372";"0.455140";"3";"0";"0.160000"
"7.500000";"72.005106";"0.087602";"0.436794";"71.291667";"0.128196";"9";"0";"0.000000"
"7.333333";"75.509431";"0.080613";"0.427234";"73.791667";"0.142282";"6";"0";"0.000000"
"8.416667";"62.270596";"0.099239";"0.490362";"79.666667";"0.142874";"6";"0";"0.000000"
"41.904762";"0.264585";"0.839429";"1.128691";"347.523810";"0.707116";"2";"0";"0.310000"
"27.958333";"2.547311";"0.659179";"1.260653";"304.666667";"0.513849";"2";"0";"0.010000"
"41.875000";"0.262651";"0.818261";"1.201283";"344.791667";"0.671283";"4";"1";"0.430000"
"45.190476";"0.099972";"0.852321";"0.979372";"348.619048";"0.770292";"3";"0";"0.380000"
"37.583333";"1.322389";"0.777900";"1.509383";"333.666667";"0.507339";"3";"1";"0.350000"
"40.666667";"0.117085";"0.841791";"1.001627";"348.476190";"0.750812";"8";"3";"0.540000"
"27.952381";"2.651379";"0.613656";"1.171159";"311.238095";"0.554518";"6";"1";"0.010000"
"38.069767";"1.477562";"0.754856";"1.414903";"331.651163";"0.523124";"5";"1";"0.190000"
"42.428571";"0.623213";"0.840696";"1.357707";"343.333333";"0.622700";"3";"0";"0.390000"
"33.291667";"1.675124";"0.722349";"1.336085";"330.958333";"0.535275";"2";"0";"0.330000"
"9.541667";"55.668557";"0.104823";"0.514795";"81.750000";"0.143821";"4";"0";"0.000000"
"5.791667";"109.041472";"0.053337";"0.302772";"48.625000";"0.091974";"6";"0";"0.000000"
"47.208333";"0.220294";"0.850666";"1.239931";"348.166667";"0.682173";"7";"1";"0.390000"
"31.875000";"1.682429";"0.699631";"1.369544";"326.333333";"0.518821";"4";"0";"0.010000"
"38.476190";"0.203088";"0.815746";"1.030388";"347.809524";"0.734713";"4";"2";"0.300000"
"28.958333";"2.392609";"0.675616";"1.282569";"314.000000";"0.523556";"1";"0";"0.010000"
"40.348837";"1.268867";"0.775997";"1.370861";"337.720930";"0.562104";"8";"0";"0.110000"
"30.708333";"1.684650";"0.723414";"1.343903";"329.500000";"0.528883";"4";"0";"0.010000"
"28.116279";"2.184898";"0.690206";"1.285077";"320.581395";"0.501784";"10";"0";"0.110000"
"5.250000";"112.008815";"0.061219";"0.308367";"47.750000";"0.082150";"8";"0";"0.000000"
"9.333333";"53.188181";"0.096099";"0.486798";"80.125000";"0.147254";"5";"0";"0.000000"
"4.750000";"113.869787";"0.050454";"0.278082";"44.083333";"0.081439";"4";"0";"0.000000"
"4.458333";"139.414706";"0.038490";"0.236185";"40.125000";"0.081084";"4";"0";"0.000000"
"6.041667";"99.758889";"0.052952";"0.313648";"54.291667";"0.109493";"2";"0";"0.000000"
"30.833333";"1.625169";"0.701694";"1.236965";"321.625000";"0.564631";"3";"0";"0.330000"
"44.761905";"0.314769";"0.823594";"1.237874";"347.571429";"0.667208";"7";"1";"0.470000"
"6.875000";"75.870671";"0.128756";"0.544493";"92.708333";"0.154356";"3";"0";"0.000000"
"27.604651";"3.017264";"0.705221";"1.394614";"319.023256";"0.457518";"6";"0";"0.150000"
"38.674419";"1.181521";"0.792976";"1.451632";"335.000000";"0.529070";"5";"2";"0.140000"
"31.125000";"1.635610";"0.709958";"1.289695";"323.166667";"0.540128";"5";"1";"0.020000"
