sin_desfragmentar_bloqueos,dt_fijo_bloqueos,ia_bloqueos,me_bloqueos,dt_fijo_reruteos,ia_reruteos,me_reruteos
119.0,107.0,106.0,113.0,1175.0,774.0,2744.0
119.0,126.0,124.0,105.0,712.0,1299.0,1513.0
119.0,119.0,126.0,111.0,535.0,191.0,1357.0
137.0,105.0,110.0,102.0,1186.0,1409.0,2719.0
137.0,117.0,119.0,106.0,763.0,1781.0,1374.0
137.0,142.0,122.0,126.0,471.0,1191.0,974.0
137.0,120.0,109.0,107.0,1194.0,1835.0,2715.0
137.0,122.0,98.0,112.0,772.0,1916.0,2000.0
137.0,119.0,101.0,111.0,576.0,1830.0,1001.0
109.0,98.0,85.0,82.0,1137.0,891.0,1744.0
109.0,100.0,79.0,88.0,746.0,1162.0,1142.0
109.0,87.0,95.0,90.0,532.0,1162.0,1078.0
146.0,148.0,118.0,137.0,1135.0,1831.0,2654.0
146.0,142.0,129.0,123.0,767.0,1472.0,2476.0
146.0,120.0,133.0,122.0,561.0,1412.0,1165.0
