sin_desfragmentar_bloqueos,dt_fijo_bloqueos,ia_bloqueos,me_bloqueos,dt_fijo_reruteos,ia_reruteos,me_reruteos
90.0,86.0,82.0,74.0,1003.0,932.0,1301.0
90.0,102.0,89.0,92.0,730.0,919.0,876.0
90.0,88.0,89.0,86.0,492.0,576.0,707.0
118.0,112.0,103.0,105.0,1065.0,868.0,1202.0
118.0,113.0,116.0,114.0,782.0,549.0,907.0
118.0,117.0,111.0,114.0,678.0,686.0,724.0
129.0,117.0,106.0,99.0,1262.0,1114.0,1449.0
129.0,115.0,106.0,105.0,757.0,718.0,922.0
129.0,122.0,97.0,118.0,703.0,943.0,733.0
114.0,106.0,95.0,110.0,1074.0,2299.0,1360.0
114.0,109.0,100.0,107.0,777.0,1583.0,1150.0
114.0,111.0,103.0,107.0,574.0,977.0,570.0
175.0,162.0,162.0,153.0,1315.0,2044.0,1464.0
175.0,170.0,149.0,154.0,626.0,1805.0,1507.0
175.0,174.0,155.0,170.0,709.0,2179.0,1146.0
