Tiempo,Demandas,Bloqueo,Entropia,MSI,BFR,LightPaths,Path Consecutiveness,Entr/uso,%uso,Probabilidad
1,10,0,0.571,2.381,0.0,10.0,231.548,0.0,0.008,0.001
2,3,0,0.762,3.619,0.002,13.0,227.889,0.0,0.011,0.001
3,3,0,1.048,5.476,0.004,16.0,209.535,0.016,0.015,0.001
4,3,0,1.238,8.476,0.008,19.0,197.564,0.089,0.021,0.001
5,4,0,1.667,10.429,0.009,23.0,174.61,0.214,0.026,0.0
6,7,0,2.238,15.952,0.015,29.0,152.671,0.463,0.039,0.0
7,5,0,2.524,19.952,0.021,34.0,139.654,0.743,0.046,0.0
8,5,0,2.952,24.0,0.033,38.0,126.593,0.971,0.05,0.0
9,5,0,3.524,31.857,0.054,42.0,104.632,1.333,0.06,0.0
10,3,0,3.81,35.381,0.063,45.0,101.712,1.551,0.064,0.0
11,6,0,3.571,36.524,0.06,51.0,110.847,1.548,0.07,0.0
12,9,0,3.857,41.905,0.066,59.0,91.504,2.006,0.082,0.0
13,4,0,4.0,43.905,0.065,63.0,87.704,2.249,0.089,0.0
14,4,0,4.095,45.238,0.065,67.0,86.572,2.327,0.092,0.0
15,3,0,4.19,45.714,0.062,70.0,80.517,2.492,0.096,0.0
16,8,0,4.905,52.905,0.085,77.0,66.807,3.202,0.103,0.0
17,4,0,5.286,61.0,0.109,81.0,59.937,4.007,0.112,0.0
18,4,0,5.571,63.238,0.109,85.0,57.018,4.45,0.119,0.0
19,7,0,6.095,68.81,0.119,91.0,46.845,5.935,0.13,0.0
20,8,0,6.667,73.381,0.128,98.0,41.462,6.867,0.138,0.0
21,3,0,6.952,75.857,0.141,98.0,42.285,7.047,0.138,0.0
22,3,0,7.238,77.952,0.152,98.0,40.231,7.5,0.138,0.0
23,3,0,7.429,80.286,0.159,101.0,38.771,8.132,0.142,0.0
24,3,0,7.429,80.571,0.156,104.0,38.153,8.121,0.145,0.0
25,5,0,7.714,87.857,0.177,108.0,35.096,8.683,0.156,0.0
26,6,0,7.524,89.19,0.176,113.0,34.394,8.664,0.161,0.0
27,8,0,8.286,97.667,0.199,119.0,30.425,10.009,0.174,0.0
28,6,0,8.476,100.857,0.201,125.0,28.651,11.189,0.183,0.0
29,3,0,8.476,102.048,0.204,127.0,27.867,11.828,0.186,0.0
30,3,0,8.381,102.667,0.202,130.0,27.821,11.835,0.189,0.0
31,5,0,9.048,103.143,0.208,130.0,25.182,12.641,0.187,0.0
32,8,0,9.429,110.571,0.238,137.0,22.916,12.968,0.195,0.0
33,3,0,9.905,115.476,0.256,139.0,21.297,14.105,0.2,0.0
