time,entropy,path_consecutiveness,bfr,msi,slots,blocked,sumSlots,sumBlockedSlots,ratio
1,0.047619,349.649923,0.000000,0.238095,6," false ",6,0,0.000000
2,0.380952,346.938920,0.000000,0.952381,1," false ",16,0,0.000000
3,0.857143,308.920455,0.000561,3.571429,5," false ",39,0,0.000000
4,1.000000,307.929365,0.000561,4.142857,5," false ",44,0,0.000000
5,1.095238,312.571120,0.000976,5.380952,8," false ",46,0,0.000000
6,1.238095,303.346042,0.001533,6.095238,2," false ",45,0,0.000000
7,1.333333,297.042388,0.003196,7.666667,3," false ",52,0,0.000000
8,1.809524,249.324832,0.010274,13.000000,6," false ",53,0,0.000000
9,2.238095,216.878325,0.017721,16.619048,2," false ",39,0,0.000000
10,2.333333,211.062941,0.018809,17.285714,6," false ",42,0,0.000000
11,2.571429,208.706084,0.019591,18.857143,3," false ",38,0,0.000000
12,2.571429,210.555678,0.019596,19.428571,4," false ",46,0,0.000000
13,2.619048,210.555678,0.019342,19.428571,2," false ",45,0,0.000000
14,2.904762,205.383620,0.021346,21.761905,4," false ",50,0,0.000000
15,3.095238,203.468513,0.022805,23.476190,5," false ",43,0,0.000000
16,3.285714,204.952824,0.021863,24.000000,6," false ",38,0,0.000000
17,3.285714,204.917624,0.021721,24.000000,1," false ",37,0,0.000000
18,3.190476,208.120782,0.021428,24.000000,2," false ",35,0,0.000000
19,3.571429,185.013209,0.024426,26.380952,7," false ",31,0,0.000000
20,3.857143,190.990912,0.025693,29.000000,1," false ",41,0,0.000000
21,4.047619,171.962708,0.029984,32.238095,5," false ",48,0,0.000000
22,4.238095,162.553843,0.034985,34.619048,5," false ",51,0,0.000000
23,4.238095,167.656498,0.034176,35.095238,5," false ",54,0,0.000000
24,4.238095,167.145747,0.034238,35.380952,3," false ",50,0,0.000000
25,4.238095,165.835615,0.034330,36.142857,8," false ",52,0,0.000000
26,4.333333,166.274858,0.033205,36.428571,3," false ",51,0,0.000000
27,4.523810,148.079099,0.037972,39.809524,2," false ",49,0,0.000000
28,5.190476,121.431076,0.035392,40.047619,5," false ",49,0,0.000000
29,5.380952,120.427169,0.034000,40.523810,2," false ",52,0,0.000000
30,5.476190,117.947459,0.033333,41.428571,5," false ",49,0,0.000000
31,5.571429,118.356281,0.035189,43.619048,3," false ",46,0,0.000000
32,5.857143,118.408569,0.038832,45.666667,6," false ",47,0,0.000000
33,5.952381,108.882036,0.041328,46.285714,4," false ",46,0,0.000000
34,5.857143,124.341788,0.046147,50.047619,6," false ",50,0,0.000000
35,5.761905,123.604703,0.047157,51.190476,3," false ",45,0,0.000000
36,5.952381,118.671292,0.047062,51.523810,2," false ",40,0,0.000000
37,6.142857,116.575228,0.051274,54.523810,6," false ",42,0,0.000000
38,6.142857,116.448356,0.051394,55.380952,6," false ",46,0,0.000000
39,6.333333,115.917186,0.048764,55.380952,6," false ",49,0,0.000000
40,6.523810,119.013145,0.049619,56.523810,4," false ",44,0,0.000000
41,6.714286,106.804284,0.055156,59.428571,3," false ",53,0,0.000000
42,7.380952,94.363259,0.062274,64.571429,4," false ",46,0,0.000000
43,7.476190,92.597134,0.065029,65.857143,4," false ",41,0,0.000000
44,7.571429,93.371886,0.070419,69.857143,4," false ",49,0,0.000000
45,8.047619,89.329983,0.075698,73.142857,8," false ",48,0,0.000000
46,8.142857,82.288128,0.076110,73.714286,6," false ",50,0,0.000000
47,8.428571,80.103193,0.074385,74.952381,5," false ",43,0,0.000000
48,8.523810,78.847488,0.074006,77.142857,3," false ",51,0,0.000000
49,8.571429,78.171320,0.074393,77.809524,1," false ",45,0,0.000000
50,8.857143,80.002289,0.078272,79.714286,2," false ",31,0,0.000000
51,9.047619,73.140362,0.083510,82.333333,8," false ",37,0,0.000000
52,9.238095,72.729498,0.085508,83.476190,1," false ",32,0,0.000000
53,9.523810,67.499636,0.088666,86.142857,7," false ",34,0,0.000000
54,9.619048,66.047894,0.099667,91.476190,6," false ",42,0,0.000000
55,9.809524,69.375584,0.101986,91.904762,4," false ",42,0,0.000000
56,10.095238,59.224754,0.109682,94.666667,5," false ",39,0,0.000000
57,10.190476,59.101196,0.108728,94.666667,1," false ",35,0,0.000000
58,10.380952,58.290898,0.107172,95.047619,2," false ",37,0,0.000000
59,10.476190,57.884635,0.107601,95.761905,3," false ",33,0,0.000000
60,10.380952,58.021139,0.106621,96.476190,2," false ",30,0,0.000000
61,10.571429,51.422390,0.118483,99.761905,2," false ",28,0,0.000000
62,10.666667,49.189476,0.119961,101.666667,8," false ",35,0,0.000000
63,10.857143,48.907958,0.119963,102.571429,7," false ",39,0,0.000000
64,10.952381,48.243558,0.123610,104.142857,4," false ",42,0,0.000000
65,10.952381,48.401410,0.122485,104.142857,7," false ",47,0,0.000000
66,11.428571,44.842754,0.131102,109.761905,8," false ",39,0,0.000000
67,11.619048,44.322632,0.134509,111.809524,7," false ",37,0,0.000000
68,11.809524,42.482975,0.150843,117.190476,3," false ",39,0,0.000000
69,12.095238,40.464908,0.154742,118.190476,2," false ",37,0,0.000000
70,12.000000,41.292719,0.155268,121.000000,4," false ",49,0,0.000000
71,12.095238,39.967498,0.159117,123.380952,4," false ",48,0,0.000000
72,12.190476,38.522646,0.159760,124.333333,6," false ",46,0,0.000000
73,12.857143,34.864482,0.168413,127.666667,6," false ",44,0,0.000000
74,13.047619,35.211141,0.167021,128.523810,2," false ",40,0,0.000000
75,13.142857,34.975788,0.166978,129.047619,4," false ",42,0,0.000000
76,13.333333,34.262599,0.169296,130.476190,7," false ",43,0,0.000000
77,13.333333,33.014984,0.172824,131.285714,5," false ",43,0,0.000000
78,13.238095,33.338123,0.172219,131.285714,2," false ",43,0,0.000000
79,13.142857,34.046132,0.169597,131.285714,6," false ",38,0,0.000000
80,13.047619,33.691649,0.172341,133.428571,3," false ",39,0,0.000000
81,13.238095,32.060007,0.180764,136.476190,2," false ",40,0,0.000000
82,13.238095,33.197638,0.178009,136.476190,7," false ",49,0,0.000000
83,13.047619,33.276148,0.172410,136.476190,1," false ",52,0,0.000000
84,15.047619,23.728042,0.252834,170.761905,1," false ",32,0,0.000000
85,13.333333,32.535215,0.171444,137.571429,1," false ",51,0,0.000000
86,13.238095,31.444286,0.175121,141.047619,5," false ",50,0,0.000000
87,13.523810,30.748458,0.176988,141.047619,6," false ",51,0,0.000000
88,13.619048,30.352642,0.185856,145.476190,8," false ",58,0,0.000000
89,13.714286,29.576485,0.185502,145.380952,3," false ",47,0,0.000000
90,13.904762,29.801045,0.182066,145.380952,4," false ",31,0,0.000000
91,14.000000,29.011295,0.186594,147.619048,7," false ",41,0,0.000000
92,14.190476,27.201833,0.189804,148.190476,4," false ",45,0,0.000000
93,14.285714,27.539559,0.187750,149.333333,3," false ",51,0,0.000000
94,14.619048,26.240224,0.191878,152.857143,5," false ",44,0,0.000000
95,15.095238,24.205188,0.215557,161.952381,8," false ",46,0,0.000000
96,15.285714,23.725454,0.214453,163.428571,7," false ",44,0,0.000000
97,15.380952,23.374318,0.212736,163.428571,8," false ",47,0,0.000000
98,15.476190,23.500405,0.213541,164.000000,1," false ",41,0,0.000000
99,15.666667,22.345706,0.215397,166.666667,2," false ",45,0,0.000000
100,16.047619,22.011269,0.214672,168.571429,3," false ",47,0,0.000000
101,16.142857,21.884295,0.216485,169.047619,1," false ",42,0,0.000000
102,16.238095,21.516863,0.219162,170.190476,8," false ",44,0,0.000000
103,16.238095,21.664424,0.216064,170.190476,8," false ",51,0,0.000000
104,16.619048,19.646721,0.222163,173.523810,8," false ",59,0,0.000000
105,16.809524,19.119382,0.228748,175.476190,7," false ",63,0,0.000000
106,17.190476,18.830260,0.234261,177.857143,4," false ",54,0,0.000000
107,17.190476,18.677400,0.236704,179.142857,4," false ",48,0,0.000000
108,17.571429,17.998394,0.240908,181.761905,2," false ",40,0,0.000000
109,17.666667,17.262524,0.241174,181.761905,2," false ",39,0,0.000000
110,17.666667,17.721834,0.237762,181.761905,3," false ",38,0,0.000000
111,17.761905,17.621824,0.240677,182.857143,4," false ",36,0,0.000000
112,18.238095,16.381509,0.263637,190.285714,7," false ",40,0,0.000000
113,18.428571,16.024396,0.261958,191.952381,5," false ",55,0,0.000000
114,18.428571,16.103705,0.258596,191.952381,8," false ",55,0,0.000000
115,18.523810,16.178768,0.259243,193.000000,6," false ",53,0,0.000000
116,18.714286,14.491214,0.264008,196.428571,6," false ",55,0,0.000000
117,18.428571,14.091912,0.269341,198.047619,6," false ",50,0,0.000000
118,20.190476,10.918457,0.340907,217.238095,8," false ",55,0,0.000000
119,18.809524,13.675333,0.276466,199.619048,4," false ",48,0,0.000000
120,18.809524,13.495412,0.278471,200.380952,8," false ",47,0,0.000000
121,18.904762,12.973603,0.286519,204.476190,6," false ",44,0,0.000000
122,20.380952,9.722333,0.357984,224.047619,7," false ",45,0,0.000000
123,19.285714,12.315029,0.307140,207.857143,2," false ",44,0,0.000000
124,19.285714,12.431853,0.306941,208.047619,8," false ",43,0,0.000000
125,19.190476,12.295307,0.308316,209.142857,3," false ",47,0,0.000000
126,19.476190,12.203450,0.309816,209.142857,4," false ",42,0,0.000000
127,19.571429,11.785460,0.315851,211.333333,1," false ",38,0,0.000000
128,19.761905,11.433174,0.317072,212.095238,8," false ",36,0,0.000000
129,19.952381,11.335540,0.321363,212.476190,8," false ",41,0,0.000000
130,20.333333,10.250265,0.351624,220.000000,8," false ",45,0,0.000000
131,20.809524,9.219958,0.359589,222.952381,6," false ",58,0,0.000000
132,21.238095,8.806472,0.366529,225.523810,4," false ",60,0,0.000000
133,21.523810,8.633078,0.366830,226.857143,7," false ",55,0,0.000000
134,21.428571,8.321865,0.364405,228.095238,6," false ",55,0,0.000000
135,21.428571,8.390072,0.370105,230.666667,5," false ",57,0,0.000000
136,23.047619,5.759768,0.461531,253.761905,8," false ",43,0,0.000000
137,22.095238,7.828361,0.386539,233.095238,6," false ",56,0,0.000000
138,22.285714,7.602286,0.390603,236.809524,5," false ",58,0,0.000000
139,22.952381,7.137489,0.400446,236.809524,1," false ",55,0,0.000000
140,22.857143,6.899715,0.404756,238.285714,8," false ",49,0,0.000000
141,23.333333,6.605724,0.414057,240.761905,4," false ",46,0,0.000000
142,23.333333,6.537895,0.411597,241.095238,2," false ",43,0,0.000000
143,23.142857,6.784993,0.425050,243.190476,1," false ",31,0,0.000000
144,23.142857,6.140600,0.453218,250.857143,4," false ",46,0,0.000000
145,23.333333,6.062670,0.450326,250.857143,4," false ",51,0,0.000000
146,23.619048,5.667987,0.460458,253.523810,8," false ",60,0,0.000000
147,23.571429,5.671890,0.461777,253.809524,3," false ",41,0,0.000000
148,23.952381,5.343168,0.460625,254.190476,8," false ",47,0,0.000000
149,24.333333,4.855464,0.485563,260.761905,4," false ",42,0,0.000000
150,24.428571,4.610063,0.492030,262.809524,6," false ",49,0,0.000000
151,24.619048,4.444687,0.503224,265.000000,3," false ",48,0,0.000000
152,24.619048,4.328417,0.508381,266.714286,7," false ",46,0,0.000000
153,24.904762,4.218248,0.520045,268.428571,5," false ",46,0,0.000000
154,25.666667,3.871792,0.542668,271.476190,6," false ",45,0,0.000000
155,25.571429,3.830407,0.541349,271.476190,3," false ",46,0,0.000000
156,25.571429,3.668296,0.542382,272.000000,3," false ",43,0,0.000000
157,25.666667,3.614521,0.545627,272.761905,6," false ",43,0,0.000000
158,26.142857,3.560331,0.546112,272.761905,4," false ",43,0,0.000000
159,26.238095,3.551690,0.546452,272.761905,1," false ",42,0,0.000000
160,26.190476,3.450131,0.554837,275.285714,1," false ",44,0,0.000000
161,26.285714,3.395942,0.564035,276.904762,1," false ",39,0,0.000000
162,26.380952,3.069392,0.575874,280.095238,7," false ",50,0,0.000000
163,26.380952,2.977457,0.581748,281.380952,2," false ",56,0,0.000000
164,26.952381,2.874021,0.590472,283.095238,2," false ",44,0,0.000000
165,26.761905,2.776529,0.599301,286.809524,5," false ",44,0,0.000000
166,26.571429,2.797351,0.601693,286.809524,2," false ",39,0,0.000000
167,26.761905,2.672446,0.599647,287.523810,1," false ",41,0,0.000000
168,26.952381,2.607546,0.601150,288.380952,4," false ",49,0,0.000000
169,26.857143,2.580224,0.608325,289.380952,7," false ",48,0,0.000000
170,26.761905,2.605032,0.603577,288.523810,5," false ",49,0,0.000000
171,26.857143,2.539299,0.617298,291.380952,7," false ",52,0,0.000000
172,26.952381,2.517073,0.614238,291.380952,6," false ",55,0,0.000000
173,27.238095,2.291932,0.636636,302.095238,3," false ",50,0,0.000000
174,27.761905,1.888314,0.665331,315.000000,1," false ",47,15,0.319000
175,27.761905,1.845086,0.673083,316.095238,4," false ",46,15,0.326000
176,27.428571,2.174500,0.661421,307.571429,8," false ",45,0,0.000000
177,27.619048,1.990875,0.680968,311.285714,5," false ",39,0,0.000000
178,27.714286,1.984682,0.681071,311.285714,4," false ",38,0,0.000000
179,28.904762,1.774069,0.669719,318.428571,5," false ",45,0,0.000000
180,28.190476,2.016041,0.673439,310.000000,5," false ",42,0,0.000000
181,28.380952,2.019728,0.672973,310.000000,6," false ",50,0,0.000000
182,28.666667,1.999445,0.677148,310.285714,1," false ",48,0,0.000000
183,28.857143,1.989308,0.683888,314.333333,6," false ",54,0,0.000000
184,29.333333,1.796609,0.703319,318.285714,8," false ",54,0,0.000000
185,29.809524,1.732722,0.706066,318.666667,2," false ",52,0,0.000000
186,29.809524,1.786482,0.703729,318.714286,8," false ",46,0,0.000000
187,30.190476,1.724254,0.708166,318.714286,8," false ",46,0,0.000000
188,30.380952,1.704347,0.719480,321.857143,6," false ",48,0,0.000000
189,30.190476,1.727235,0.717194,321.904762,6," false ",49,0,0.000000
190,30.380952,1.727868,0.718128,321.904762,2," false ",51,0,0.000000
191,30.666667,1.657943,0.715631,322.428571,5," false ",44,0,0.000000
192,30.666667,1.516720,0.724012,323.857143,8," false ",43,0,0.000000
193,30.761905,1.541098,0.717703,323.857143,1," false ",42,0,0.000000
194,31.333333,1.537932,0.718114,323.857143,8," false ",34,0,0.000000
195,31.142857,1.516517,0.716252,323.857143,6," false ",31,0,0.000000
196,30.857143,1.512660,0.712463,323.857143,5," false ",34,0,0.000000
197,30.952381,1.485843,0.708518,323.857143,2," false ",41,0,0.000000
198,30.952381,1.487460,0.710912,324.285714,5," false ",41,0,0.000000
199,31.142857,1.501452,0.712005,324.285714,5," false ",40,0,0.000000
200,31.428571,1.478023,0.711616,325.523810,8," false ",41,0,0.000000
201,31.714286,1.414624,0.714502,329.714286,2," false ",40,0,0.000000
202,31.333333,1.406708,0.714260,329.714286,5," false ",39,0,0.000000
203,31.619048,1.386665,0.718075,329.952381,5," false ",43,0,0.000000
204,31.523810,1.375090,0.722428,329.952381,8," false ",43,0,0.000000
205,31.333333,1.375334,0.722944,329.952381,1," false ",43,0,0.000000
206,31.142857,1.381843,0.723423,329.952381,1," false ",34,0,0.000000
207,31.333333,1.389648,0.723218,329.952381,3," false ",32,7,0.219000
208,31.619048,1.350008,0.725156,330.095238,3," false ",37,7,0.189000
209,31.619048,1.213673,0.722746,330.095238,2," false ",42,7,0.167000
210,31.809524,1.162520,0.736759,331.142857,4," false ",48,7,0.146000
211,31.523810,1.164200,0.735890,331.142857,1," false ",42,0,0.000000
212,32.000000,1.156375,0.737330,332.761905,5," false ",44,0,0.000000
213,32.000000,1.156546,0.737088,332.761905,1," false ",40,0,0.000000
214,32.285714,1.072436,0.736141,332.761905,6," false ",36,0,0.000000
215,32.380952,1.039558,0.734144,332.761905,8," false ",43,0,0.000000
216,32.476190,1.018640,0.736778,332.761905,6," false ",52,4,0.077000
217,32.571429,1.007407,0.734741,332.761905,4," false ",43,4,0.093000
218,32.666667,1.029350,0.729860,332.333333,5," false ",46,0,0.000000
219,32.571429,1.035503,0.737768,332.333333,4," false ",36,6,0.167000
220,32.857143,1.035115,0.738000,332.476190,1," false ",33,6,0.182000
221,33.238095,0.941480,0.741395,339.428571,7," false ",36,0,0.000000
222,33.333333,0.904567,0.744613,339.761905,3," false ",48,0,0.000000
223,33.333333,0.904567,0.744613,339.761905,5," true ",47,5,0.106000
224,33.714286,0.844883,0.743964,339.761905,8," false ",50,5,0.100000
225,34.000000,0.835088,0.757246,339.761905,8," true ",54,20,0.370000
226,35.571429,0.526719,0.770505,336.190476,2," false ",46,20,0.435000
227,34.285714,0.863147,0.777307,339.761905,5," false ",70,30,0.429000
228,34.666667,0.809879,0.781928,339.761905,2," false ",67,30,0.448000
229,34.666667,0.809533,0.780369,339.761905,6," false ",68,31,0.456000
230,34.857143,0.808044,0.780362,339.761905,1," false ",61,23,0.377000
231,35.047619,0.803618,0.781353,339.761905,4," false ",51,8,0.157000
232,35.047619,0.800298,0.779763,339.761905,1," false ",34,15,0.441000
233,35.428571,0.798396,0.782429,339.761905,8," false ",38,7,0.184000
234,35.428571,0.758999,0.784477,339.761905,6," false ",48,6,0.125000
235,35.333333,0.730510,0.781094,339.761905,8," false ",41,0,0.000000
236,35.523810,0.711881,0.782896,339.761905,4," false ",39,0,0.000000
237,36.000000,0.702780,0.785254,339.761905,4," false ",42,0,0.000000
238,36.190476,0.674962,0.779371,339.761905,5," false ",49,0,0.000000
239,36.285714,0.645338,0.777077,339.761905,1," false ",41,6,0.146000
240,36.285714,0.656878,0.780892,339.761905,2," false ",38,6,0.158000
241,36.095238,0.643146,0.777989,339.761905,8," true ",40,8,0.200000
242,37.428571,0.433373,0.795087,336.571429,7," true ",48,23,0.479000
243,36.285714,0.666017,0.779102,339.761905,3," false ",43,14,0.326000
244,36.571429,0.653241,0.780314,339.761905,8," false ",54,14,0.259000
245,36.761905,0.650313,0.781464,339.761905,3," false ",58,22,0.379000
246,37.142857,0.616769,0.787540,340.000000,5," false ",47,8,0.170000
247,37.333333,0.583569,0.787369,343.142857,5," false ",45,8,0.178000
248,37.333333,0.570120,0.787591,343.142857,5," true ",33,5,0.152000
249,37.714286,0.568214,0.788968,343.142857,5," false ",33,5,0.152000
250,38.000000,0.579049,0.792308,340.476190,7," true ",37,12,0.324000
251,37.904762,0.578280,0.792133,340.476190,1," false ",42,12,0.286000
252,37.904762,0.576220,0.791079,340.476190,3," false ",39,19,0.487000
253,37.904762,0.570111,0.793553,340.476190,4," false ",41,19,0.463000
254,38.095238,0.597188,0.789323,340.476190,6," false ",37,7,0.189000
255,38.000000,0.572961,0.787386,340.476190,3," false ",36,7,0.194000
256,38.285714,0.534508,0.782913,343.285714,1," false ",40,0,0.000000
257,38.285714,0.515571,0.788195,343.285714,6," false ",48,0,0.000000
258,38.380952,0.508410,0.791061,343.285714,7," false ",50,0,0.000000
259,38.666667,0.509062,0.792040,343.285714,2," false ",51,0,0.000000
260,39.047619,0.500518,0.796400,343.285714,1," false ",51,0,0.000000
261,39.523810,0.509891,0.796818,343.285714,8," true ",53,8,0.151000
262,39.333333,0.507877,0.799570,343.285714,3," false ",41,8,0.195000
263,39.333333,0.490883,0.809553,344.333333,6," false ",35,8,0.229000
264,38.666667,0.378439,0.812469,340.809524,1," false ",57,27,0.474000
265,40.095238,0.478995,0.817570,344.333333,8," false ",42,8,0.190000
266,40.095238,0.446314,0.817356,345.571429,2," false ",40,0,0.000000
267,40.095238,0.446314,0.817356,345.571429,4," true ",45,15,0.333000
268,39.809524,0.445820,0.817089,345.857143,2," false ",46,27,0.587000
269,39.904762,0.439263,0.817396,345.857143,4," false ",46,16,0.348000
270,39.714286,0.437965,0.817596,345.857143,6," true ",40,10,0.250000
271,39.619048,0.426702,0.816463,345.857143,4," false ",38,11,0.289000
272,39.619048,0.333736,0.812877,341.047619,7," true ",59,43,0.729000
273,39.952381,0.365032,0.824472,347.428571,7," false ",50,18,0.360000
274,40.333333,0.323594,0.826089,347.428571,2," false ",57,12,0.211000
275,40.333333,0.333710,0.822842,347.428571,8," true ",57,13,0.228000
276,40.523810,0.329581,0.823810,347.428571,6," true ",48,19,0.396000
277,40.523810,0.325733,0.822490,347.428571,2," false ",45,14,0.311000
278,40.428571,0.323088,0.821253,347.428571,8," false ",49,14,0.286000
279,40.904762,0.320707,0.818806,347.428571,3," false ",43,6,0.140000
280,41.000000,0.336387,0.821390,347.428571,4," false ",49,14,0.286000
281,41.190476,0.322478,0.821286,347.428571,4," false ",51,14,0.275000
282,41.380952,0.316917,0.822916,347.428571,1," false ",47,11,0.234000
283,41.476190,0.318696,0.826092,347.428571,2," false ",43,19,0.442000
284,41.285714,0.316340,0.825442,347.428571,2," false ",39,23,0.590000
285,41.333333,0.310358,0.823168,347.428571,1," false ",37,8,0.216000
286,41.523810,0.325505,0.822312,347.428571,7," true ",42,15,0.357000
287,41.809524,0.358186,0.821418,347.428571,8," true ",45,23,0.511000
288,42.190476,0.359343,0.823038,347.428571,6," false ",47,19,0.404000
289,42.190476,0.358088,0.822254,347.428571,7," false ",55,26,0.473000
290,41.904762,0.385830,0.817877,347.428571,3," false ",47,22,0.468000
291,42.000000,0.350575,0.812062,347.428571,2," false ",49,7,0.143000
292,42.380952,0.348460,0.812274,347.428571,2," false ",39,0,0.000000
293,42.476190,0.340947,0.811371,347.428571,6," false ",39,0,0.000000
294,42.000000,0.337554,0.808536,347.428571,7," false ",38,0,0.000000
295,42.000000,0.323369,0.814638,347.428571,4," false ",44,4,0.091000
296,42.000000,0.323081,0.815028,347.428571,7," true ",47,11,0.234000
297,42.095238,0.299512,0.816556,347.428571,5," false ",40,11,0.275000
298,41.809524,0.291579,0.815531,347.428571,1," false ",34,7,0.206000
299,41.761905,0.293574,0.815382,347.571429,2," false ",27,4,0.148000
300,42.238095,0.274557,0.819439,347.761905,5," false ",37,11,0.297000
301,42.142857,0.291724,0.817765,346.619048,8," true ",53,29,0.547000
302,42.523810,0.267098,0.821792,346.619048,7," false ",54,29,0.537000
303,42.238095,0.272561,0.819994,346.619048,8," true ",52,30,0.577000
304,42.238095,0.250664,0.817939,347.380952,6," false ",57,23,0.404000
305,42.523810,0.249696,0.813205,346.904762,1," false ",51,20,0.392000
